trade_id;period;cashflow_date;currency;nominal;fixed_rate;accrual_years;expected_payer_cashflow;expected_receiver_cashflow;expected_net_cashflow
00001;1;2027-02-01;EUR;100000;0.04;0.5;-2000;1000;-1000
00001;2;2027-08-01;EUR;100000;0.04;0.5;-2000;1100;-900
00001;3;2028-02-01;EUR;100000;0.04;0.5;-2000;1200;-800
00001;4;2028-08-01;EUR;100000;0.04;0.5;-2000;1350;-650
00001;5;2029-02-01;EUR;100000;0.04;0.5;-2000;1500;-500
00001;6;2029-08-01;EUR;100000;0.04;0.5;-2000;1650;-350
00001;7;2030-02-01;EUR;100000;0.04;0.5;-2000;1800;-200
00001;8;2030-08-01;EUR;100000;0.04;0.5;-2000;1950;-50
00001;9;2031-02-01;EUR;100000;0.04;0.5;-2000;2050;50
00001;10;2031-08-01;EUR;100000;0.04;0.5;-2000;2100;100
00001;11;2032-02-01;EUR;100000;0.04;0.5;-2000;2050;50
00001;12;2032-08-01;EUR;100000;0.04;0.5;-2000;1950;-50
00001;13;2033-02-01;EUR;100000;0.04;0.5;-2000;1850;-150
00001;14;2033-08-01;EUR;100000;0.04;0.5;-2000;1750;-250
00001;15;2034-02-01;EUR;100000;0.04;0.5;-2000;1650;-350
00001;16;2034-08-01;EUR;100000;0.04;0.5;-2000;1600;-400
00001;17;2035-02-01;EUR;100000;0.04;0.5;-2000;1550;-450
00001;18;2035-08-01;EUR;100000;0.04;0.5;-2000;1500;-500
00001;19;2036-02-01;EUR;100000;0.04;0.5;-2000;1500;-500
00001;20;2036-08-01;EUR;100000;0.04;0.5;-2000;1500;-500
